"DHB","demography","measure","number","Age","QtYR","Demogfacet"
"Capital & Coast","Pacific","full",352,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Counties Manukau","Pacific","full",2276,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Hawkes Bay","Pacific","full",109,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Hutt Valley","Pacific","full",220,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Lakes","Pacific","full",27,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Midcentral","Pacific","full",88,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Nelson Marlborough","Pacific","full",61,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Northland","Pacific","full",35,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"South Canterbury","Pacific","full",16,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Southern","Pacific","full",121,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
